Swapping columns 4, 7: Best Score: -1418.850738, Score: -1436.153255, Score: -1440.867964 Undoing swap!
Swapping columns 5, 8: Best Score: -1418.850738, Score: -1436.844593, Score: -1439.247290 Undoing swap!
Swapping columns 6, 9: Best Score: -1418.850738, Score: -1432.547037, Score: -1434.621981 Undoing swap!
Swapping columns 7, 10: Best Score: -1418.850738, Score: -1438.077759, Score: -1433.958741 Undoing swap!
Swapping columns 8, 11: Best Score: -1418.850738, Score: -1429.917505, Score: -1445.093179 Undoing swap!
Swapping columns 9, 12: Best Score: -1418.850738, Score: -1441.463485, Score: -1433.973198 Undoing swap!
Swapping columns 10, 13: Best Score: -1418.850738, Score: -1433.183624, Score: -1435.299895 Undoing swap!
Swapping columns 11, 14: Best Score: -1418.850738, Score: -1432.587087, Score: -1436.787033 Undoing swap!
Swapping columns 12, 15: Best Score: -1418.850738, Score: -1439.917937, Score: -1440.303926 Undoing swap!
Swapping columns 13, 16: Best Score: -1418.850738, Score: -1438.841983, Score: -1438.450523 Undoing swap!
Swapping columns 0, 4: Best Score: -1418.850738, Score: -1432.180459, Score: -1430.153887 Undoing swap!
Swapping columns 1, 5: Best Score: -1418.850738, Score: -1434.568740, Score: -1436.289992 Undoing swap!
Swapping columns 2, 6: Best Score: -1418.850738, Score: -1436.283278, Score: -1435.564606 Undoing swap!
Swapping columns 3, 7: Best Score: -1418.850738, Score: -1430.367507, Score: -1428.690672 Undoing swap!
Swapping columns 4, 8: Best Score: -1418.850738, Score: -1432.558619, Score: -1429.263108 Undoing swap!
Swapping columns 5, 9: Best Score: -1418.850738, Score: -1438.071708, Score: -1433.829538 Undoing swap!
Swapping columns 6, 10: Best Score: -1418.850738, Score: -1434.245336, Score: -1433.566811 Undoing swap!
Swapping columns 7, 11: Best Score: -1418.850738, Score: -1430.111121, Score: -1438.744757 Undoing swap!
Swapping columns 8, 12: Best Score: -1418.850738, Score: -1441.140517, Score: -1440.951847 Undoing swap!
Swapping columns 9, 13: Best Score: -1418.850738, Score: -1439.750040, Score: -1435.554822 Undoing swap!
Swapping columns 10, 14: Best Score: -1418.850738, Score: -1435.851073, Score: -1435.135844 Undoing swap!
Swapping columns 11, 15: Best Score: -1418.850738, Score: -1431.679974, Score: -1438.988422 Undoing swap!
Swapping columns 12, 16: Best Score: -1418.850738, Score: -1443.771248, Score: -1437.161116 Undoing swap!
Swapping columns 0, 5: Best Score: -1418.850738, Score: -1434.991089, Score: -1441.305803 Undoing swap!
Swapping columns 1, 6: Best Score: -1418.850738, Score: -1433.336158, Score: -1426.917916 Undoing swap!
Swapping columns 2, 7: Best Score: -1418.850738, Score: -1430.459671, Score: -1432.251971 Undoing swap!
Swapping columns 3, 8: Best Score: -1418.850738, Score: -1438.148258, Score: -1435.204174 Undoing swap!
Swapping columns 4, 9: Best Score: -1418.850738, Score: -1433.915821, Score: -1429.051587 Undoing swap!
Swapping columns 5, 10: Best Score: -1418.850738, Score: -1437.789950, Score: -1431.660216 Undoing swap!
Swapping columns 6, 11: Best Score: -1418.850738, Score: -1430.125795, Score: -1417.581320
Swapping columns 0, 1: Best Score: -1417.581320, Score: -1417.808128, Score: -1429.046050 Undoing swap!
Swapping columns 1, 2: Best Score: -1417.581320, Score: -1427.192767, Score: -1438.123799 Undoing swap!
Swapping columns 2, 3: Best Score: -1417.581320, Score: -1431.164913, Score: -1433.615125 Undoing swap!
Swapping columns 3, 4: Best Score: -1417.581320, Score: -1436.918974, Score: -1436.627905 Undoing swap!
Swapping columns 4, 5: Best Score: -1417.581320, Score: -1436.269475, Score: -1430.469352 Undoing swap!
Swapping columns 5, 6: Best Score: -1417.581320, Score: -1435.533073, Score: -1436.201436 Undoing swap!
Swapping columns 6, 7: Best Score: -1417.581320, Score: -1437.198423, Score: -1440.599177 Undoing swap!
Swapping columns 7, 8: Best Score: -1417.581320, Score: -1437.175093, Score: -1437.524712 Undoing swap!
Swapping columns 8, 9: Best Score: -1417.581320, Score: -1435.746172, Score: -1431.594720 Undoing swap!
Swapping columns 9, 10: Best Score: -1417.581320, Score: -1436.556387, Score: -1432.621634 Undoing swap!
Swapping columns 10, 11: Best Score: -1417.581320, Score: -1429.438220, Score: -1435.556164 Undoing swap!
Swapping columns 11, 12: Best Score: -1417.581320, Score: -1428.230453, Score: -1426.029626 Undoing swap!
Swapping columns 12, 13: Best Score: -1417.581320, Score: -1432.495197, Score: -1434.929334 Undoing swap!
Swapping columns 13, 14: Best Score: -1417.581320, Score: -1441.542136, Score: -1438.035784 Undoing swap!
Swapping columns 14, 15: Best Score: -1417.581320, Score: -1434.928876, Score: -1438.506064 Undoing swap!
Swapping columns 15, 16: Best Score: -1417.581320, Score: -1433.970690, Score: -1432.350539 Undoing swap!
Swapping columns 0, 2: Best Score: -1417.581320, Score: -1441.049070, Score: -1436.508038 Undoing swap!
Swapping columns 1, 3: Best Score: -1417.581320, Score: -1431.450861, Score: -1434.300832 Undoing swap!
Swapping columns 2, 4: Best Score: -1417.581320, Score: -1432.278886, Score: -1434.288549 Undoing swap!
