Swapping columns 7, 11: Best Score: -1075.348717, Score: -1101.238710, Score: -1102.751863 Undoing swap!
Swapping columns 8, 12: Best Score: -1075.348717, Score: -1094.446380, Score: -1088.296398 Undoing swap!
Swapping columns 9, 13: Best Score: -1075.348717, Score: -1093.108222, Score: -1078.541977 Undoing swap!
Swapping columns 10, 14: Best Score: -1075.348717, Score: -1089.220035, Score: -1088.021990 Undoing swap!
Swapping columns 11, 15: Best Score: -1075.348717, Score: -1101.733861, Score: -1101.388372 Undoing swap!
Swapping columns 12, 16: Best Score: -1075.348717, Score: -1097.518581, Score: -1092.551765 Undoing swap!
Swapping columns 0, 5: Best Score: -1075.348717, Score: -1084.869033, Score: -1089.695098 Undoing swap!
Swapping columns 1, 6: Best Score: -1075.348717, Score: -1094.325215, Score: -1093.641822 Undoing swap!
Swapping columns 2, 7: Best Score: -1075.348717, Score: -1092.347693, Score: -1089.710060 Undoing swap!
Swapping columns 3, 8: Best Score: -1075.348717, Score: -1096.629210, Score: -1084.257758 Undoing swap!
Swapping columns 4, 9: Best Score: -1075.348717, Score: -1087.687739, Score: -1089.367516 Undoing swap!
Swapping columns 5, 10: Best Score: -1075.348717, Score: -1086.920134, Score: -1092.067801 Undoing swap!
Swapping columns 6, 11: Best Score: -1075.348717, Score: -1093.146703, Score: -1083.301182 Undoing swap!
Swapping columns 7, 12: Best Score: -1075.348717, Score: -1097.400144, Score: -1095.460475 Undoing swap!
Swapping columns 8, 13: Best Score: -1075.348717, Score: -1097.443573, Score: -1092.163346 Undoing swap!
Swapping columns 9, 14: Best Score: -1075.348717, Score: -1091.685025, Score: -1095.002030 Undoing swap!
Swapping columns 10, 15: Best Score: -1075.348717, Score: -1089.656874, Score: -1087.149706 Undoing swap!
Swapping columns 11, 16: Best Score: -1075.348717, Score: -1099.505718, Score: -1086.902931 Undoing swap!
Swapping columns 0, 6: Best Score: -1075.348717, Score: -1089.654131, Score: -1088.017223 Undoing swap!
Swapping columns 1, 7: Best Score: -1075.348717, Score: -1088.542284, Score: -1089.036213 Undoing swap!
Swapping columns 2, 8: Best Score: -1075.348717, Score: -1100.744292, Score: -1096.982749 Undoing swap!
Swapping columns 3, 9: Best Score: -1075.348717, Score: -1093.285432, Score: -1097.450174 Undoing swap!
Swapping columns 4, 10: Best Score: -1075.348717, Score: -1089.039205, Score: -1090.586305 Undoing swap!
Swapping columns 5, 11: Best Score: -1075.348717, Score: -1095.712546, Score: -1102.642806 Undoing swap!
Swapping columns 6, 12: Best Score: -1075.348717, Score: -1090.828098, Score: -1108.722411 Undoing swap!
Swapping columns 7, 13: Best Score: -1075.348717, Score: -1097.970611, Score: -1097.824136 Undoing swap!
Swapping columns 8, 14: Best Score: -1075.348717, Score: -1088.915578, Score: -1091.192871 Undoing swap!
Swapping columns 9, 15: Best Score: -1075.348717, Score: -1099.393526, Score: -1087.554083 Undoing swap!
Swapping columns 10, 16: Best Score: -1075.348717, Score: -1093.488643, Score: -1094.081923 Undoing swap!
Swapping columns 0, 7: Best Score: -1075.348717, Score: -1086.623797, Score: -1095.455654 Undoing swap!
Swapping columns 1, 8: Best Score: -1075.348717, Score: -1092.172623, Score: -1095.523147 Undoing swap!
Swapping columns 2, 9: Best Score: -1075.348717, Score: -1088.913633, Score: -1088.727831 Undoing swap!
Swapping columns 3, 10: Best Score: -1075.348717, Score: -1090.856257, Score: -1092.283665 Undoing swap!
Swapping columns 4, 11: Best Score: -1075.348717, Score: -1088.331839, Score: -1085.708358 Undoing swap!
Swapping columns 5, 12: Best Score: -1075.348717, Score: -1088.082090, Score: -1093.026328 Undoing swap!
Swapping columns 6, 13: Best Score: -1075.348717, Score: -1083.548504, Score: -1090.011775 Undoing swap!
